"date","flag"
2015-12-02,1
2015-12-03,1
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,0
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,0
2015-12-16,0
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25,0
2015-12-26,1
2015-12-27,1
2015-12-28,1
2015-12-29,1
2015-12-30,1
2015-12-31,1
2016-01-01,1
2016-01-02,1
2016-01-03,0
2016-01-04,0
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,1
2016-01-10,0
2016-01-11,0
2016-01-12,1
2016-01-13,0
2016-01-14,1
2016-01-15,1
2016-01-16,1
2016-01-17,0
2016-01-18,1
2016-01-19,1
2016-01-20,0
2016-01-21,1
2016-01-22,0
2016-01-23,1
2016-01-24,0
2016-01-25,1
2016-01-26,0
2016-01-27,1
2016-01-28,1
2016-01-29,1
2016-01-30,1
2016-01-31,0
2016-02-01,0
2016-02-02,1
2016-02-03,1
2016-02-04,1
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,1
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,1
2016-02-15,1
2016-02-16,1
2016-02-17,0
2016-02-18,1
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,1
2016-02-24,1
2016-02-25,1
2016-02-26,1
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,0
